103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
中和區(第5選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
1196,中和區公所路面搶修組,永和路８９巷２號,中原里,"1-4,9-13",,,
1197,霹靂宮,永和路５１４號地下室,中原里,"5-8,14,18-20",,,
1198,城龍登科文康中心,永和路１２８巷４１號,中原里,"15-17,21-24",,,
1199,連和市民活動中心,連城路５４號,連和里,"1,2,16,18-23",,,
1200,四知新城活動中心,連城路１４８號,連和里,"3-15,17",,,
1201,美國華城(文康室),連城路８９巷９號,連城里,"1-4,6,8,9,37,42-46",,,
1202,連城里活動中心,連城路１７１巷７號(安邦街１６號),連城里,"5,7,10-21,31-36,38",,,
1203,美國華城EF棟(會議室),連城路８９巷３８號,連城里,"22-33,39-41,47,48",,,
1204,聖慈宮,圓通路１５８巷９弄１１號,力行里,"1-6,16-18,32,35-45",,,
1205,力行里巡守崗亭,圓通路１７６號旁,力行里,"7-15,34",,,
1206,我的故鄉管委會,圓通路２４０巷５號,力行里,"19-31,33",,,
1207,崇愛發展中心,圓通路１４３之１號,正行里,1-10,,,
1208,崇愛發展中心,圓通路１４３之１號,正行里,11-19,,,
1209,天喜花園社區活動中心,中正路１６７巷２７號,德行里,"1-12,38-41",,,
1210,捷運森林社區活動中心,中正路２１１巷３８號,德行里,"13-21,24-27",,,
1211,國泰晶鑽社區活動中心,圓通路２９７巷９弄８號,德行里,"22,23,28-37,42",,,
1212,漳和國中信義樓,廣福路３９號,枋寮里,1-20,,,
1213,漳和國中(信義樓歡喜班),廣福路３９號,枋寮里,21-35,,,
1214,中和國小,中和路１００號,漳和里,1-21,,,
1215,中和國小,中和路１００號,漳和里,22-36,,,
1216,中和國小,中和路１００號,廟美里,1-18,,,
1217,中和國小,中和路１００號,廟美里,19-29,,,
1218,中和國小,中和路１００號,廟美里,30-40,,,
1219,福真里活動中心,中山路二段３１２巷３３弄２９號旁福真里,"1-10,31,32,34,35,37,38,42,43",,,
1220,德明幼兒園,中山路二段３１２巷３弄７號,福真里,"11-30,33,36,39-41",,,
1221,一江社區會議室,永和路９巷１號,福善里,"1-7,21-23,39-42",,,
1222,福善民活動中心,福美路３０１巷２３號,福善里,"8-20,38",,,
1223,福善民活動中心,福美路３０１巷２５號,福善里,24-37,,,
1224,中和新城管委會,莊敬路４９巷２０弄１２號,福美里,"1,6,7,13-18,25-29,32",,,
1225,山北民活動中心,莊敬路４９巷２９弄２號,福美里,"2-5,20-23,34,35",,,
1226,山北民活動中心,莊敬路４９巷２９弄２號,福美里,"8-12,19,24,30,31,33",,,
1227,惜福社區中庭（B棟）,永和路８巷７號,福祥里,"1-6,28-32",,,
1228,美的時代社區,福祥路６８號,福祥里,"7-12,35-38",,變更,
1229,大眾爺廟,福美路２５６巷１８－１號,福祥里,"13-27,33,34",,,
1230,漳和國中羽球館,廣福路３９號,瓦?里,1-13,,,
1231,漳和國中羽球館,廣福路３９號,瓦?里,14-21,,,
1232,漳和國中羽球館,廣福路３９號,瓦?里,22-29,,,
1233,漳和國中和平樓101教室,廣福路３９號,福和里,1-7,,,
1234,漳和國中和平樓301教室,廣福路３９號,福和里,8-17,,,
1235,漳和國中仁愛樓912教室,廣福路３９號,福和里,18-32,,,
1236,自強游泳池側門,中山路二段６４巷７弄底,佳和里,"1-8,29-40",,,
