103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
土城區(第7選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
1738,祖田市民活動中心,中央路四段２８３之１號２樓,祖田里,全里,,,
1739,頂新里市民活動中心,中央路四段２８３之１號,頂新里,1-5,,,
1740,原住民巿民活動中心,中央路四段２８３之１號,頂新里,6-10,,,
1741,頂埔國小,中央路四段２０５號,頂福里,"1-8,15",,,
1742,頂埔國小,中央路四段２０５號,頂福里,"9,10,20-25",,,
1743,頂福社區活動中心,中州路２８巷２８號,頂福里,"11-14,16-19",,,
1744,頂埔市民活動中心1樓,中央路四段５５之１２號１樓,頂埔里,1-10,,,
1745,頂埔巿民活動中心1樓,中央路四段５５之１２號１樓,頂埔里,11-20,,,
1746,頂埔巿民活動中心2樓,中央路四段５５之１２號２樓,頂埔里,21-31,,,
1747,沛陂巿民活動中心1樓,三民路２３巷８弄９號１樓(沛陂社區公園內),沛陂里,"1,2,9,10",,,
1748,沛陂巿民活動中心2樓,三民路２３巷８弄９號２樓(沛陂社區公園內),沛陂里,"11,12,15-21",,,
1749,沛陂里社區活動中心,福安街１５號,沛陂里,"3-8,13,14",,,
1750,土城國中,永寧路１８號,永寧里,"1-10,16,17",,,
1751,土城國中,永寧路１８號,永寧里,11-15,,,
1752,土城國中,永寧路１８號,永寧里,18-27,,,
1753,土城國中,永寧路１８號,永寧里,28-32,,,
1754,土城國中,永寧路１８號,永寧里,33-37,,,
1755,大安集會所,中央路三段１３４號,大安里,"1-6,16-18,25",,,
1756,臺北市政府捷運工程局北區工程處第五土木工務所,承天路２號(永寧站２號出口前之工務所),大安里,"7-10,13,19-22",,,
1757,南天母新城社區會議室,南天母路６７號,大安里,"11,12,14,15,23,24",,,
1758,土城國小,興城路１７號,員仁里,"1-6,26-28",,,
1759,土城國小,興城路１７號,員仁里,"7-14,29",,,
1760,員仁社區活動中心(左側),中華路二段９０號,員仁里,15-22,,,
1761,員仁社區活動中心(右側),中華路二段９０號,員仁里,"23-25,30-33",,,
1762,土城國小,興城路１７號,埤塘里,1-7,,新增,
1763,土城國小,興城路１７號,埤塘里,"8-10,15-17",,,
1764,土城國小,興城路１７號,埤塘里,11-14,,,
1765,土城國小,興城路１７號,土城里,1-9,,,
1766,土城國小,興城路１７號,土城里,10-19,,,
1767,長風巿民活動中心,順風路２７號,長風里,全里,,,
1768,土城國小,興城路１７號,員信里,1-10,,,
1769,土城國小,興城路１７號,員信里,11-17,,,
1770,土城國小,興城路１７號,員信里,18-25,,,
1771,土城國小,興城路１７號,員林里,1-10,,,
1772,土城國小,興城路１７號,員林里,11-19,,,
1773,土城國小,興城路１７號,員林里,20-28,,,
1774,土城國小,興城路１７號,員林里,29-34,,,
1775,土城國小,興城路１７號,員福里,1-8,,,
1776,土城國小,興城路１７號,員福里,9-15,,,
1777,土城國小,興城路１７號,員福里,16-22,,,
1778,土城國小,興城路１７號,員福里,23-28,,,
1779,樂利國小,裕生路６５號,日和里,1-9,,,
1780,樂利國小,裕生路６５號,日和里,10-16,,新增,
1781,樂利國小,裕生路６５號,日和里,17-24,,,
1782,樂利國小,裕生路６５號,日和里,25-31,,,
1783,樂利國小,裕生路６５號,日新里,1-10,,,
1784,樂利國小,裕生路６５號,日新里,"11,18-22,24-27",,,
1785,日新巿民活動中心,裕生路１００巷５號,日新里,"12-17,23",,,
1786,莒光四村活動中心,中央路一段１８９巷２號,裕生里,"1-8,15,16",,,
1787,樂利國小,裕生路６５號,裕生里,"9-14,17-19",,,
1788,樂利國小,裕生路６５號,裕生里,"23-28,37-39",,,
1789,樂利國小,裕生路６５號,裕生里,"20-22,29-36",,,
1790,樂利國小,裕生路６５號,貨饒里,1-8,,,
1791,樂利國小,裕生路６５號,貨饒里,9-15,,,
1792,樂利國小,裕生路６５號,貨饒里,16-22,,,
1793,信義國小,四川路二段２４５巷６０號,瑞興里,1-13,,,
1794,信義國小,四川路二段２４５巷６０號,瑞興里,14-26,,,
1795,信義國小,四川路二段２４５巷６０號,復興里,1-12,,,
1796,信義國小,四川路二段２４５巷６０號,復興里,13-24,,,
1797,信義國小,四川路二段２４５巷６０號,復興里,25-34,,,
1798,廣福國小,學府路一段１２７號,廣福里,"1,2,13,28-32",,,
1799,廣福國小,學府路一段１２７號,廣福里,"3,4,15-23,25-27",,,
1800,廣福巿民活動中心,學府路一段９９巷底,廣福里,"5-12,14,24,33",,,
1801,廣福國小,學府路一段１２７號,學成里,"1,2,13-18",,,
1802,學成巿民活動中心,學成路９７巷８號,學成里,3-12,,,
1803,廣福國小,學府路一段１２７號,埤林里,1-7,,,
1804,廣福國小,學府路一段１２７號,埤林里,8-15,,,
1805,廣福國小,學府路一段１２７號,埤林里,16-23,,,
1806,廣福國小,學府路一段１２７號,埤林里,24-31,,,
1807,廣福國小,學府路一段１２７號,埤林里,32-38,,,
1808,廣福國小,學府路一段１２７號,廣興里,1-10,,,
1809,廣福國小,學府路一段１２７號,廣興里,11-18,,,
1810,樂利國小,裕生路６５號,樂利里,1-10,,,
1811,樂利國小,裕生路６５號,樂利里,11-22,,,
1812,樂利國小,裕生路６５號,樂利里,23-36,,,
1813,廣福國小,學府路一段１２７號,學府里,"1,2,10,14-22",,,
1814,海山高工,學府路一段２４１號,學府里,"3-9,11-13",,,
1815,海山高工,學府路一段２４１號,明德里,1-10,,,
1816,海山高工,學府路一段２４１號,明德里,11-19,,,
1817,海山高工,學府路一段２４１號,明德里,20-30,,,
1818,中正國中,金城路二段２４７號,學士里,"1-6,8,9",,,
1819,中正國中,金城路二段２４７號,學士里,"7,10-18",,,
1820,中正國中,金城路二段２４７號,學士里,19-27,,,
1821,中正國中,金城路二段２４７號,柑林里,"1-7,9",,,
1822,中正國中,金城路二段２４７號,柑林里,"8,10-21",,,
1823,中正國中,金城路二段２４７號,中正里,1-10,,,
1824,中正巿民活動中心,裕民路１８５巷３６弄２號對面,中正里,11-18,,,
1825,青雲里活動中心(左側),清水路１４１巷１８號地下１樓,青雲里,1-10,,,
1826,青雲里活動中心(右側),清水路１４１巷１８號地下１樓,青雲里,11-21,,,
1827,清和里活動中心,青雲路３６８號,清和里,"1,2,14-18",,,
1828,清水中學,明德路一段７２號,清和里,"3-9,12",,,
1829,清水中學,明德路一段７２號,清和里,"10,11,13,19-22",,,
1830,清水中學,明德路一段７２號,清和里,23-28,,,
1831,清水托兒所(清化里活動中心),青雲路３６８號４樓,清化里,全里,,,
1832,清水國小,金城路二段３５６號,清溪里,1-12,,,
1833,清水國小,金城路二段３５６號,清溪里,"13-15,36-43,48,49",,,
1834,清溪里活動中心(左側),清水路２４３之１號,清溪里,16-31,,,
1835,清溪里活動中心(右側),清水路２４３之１號,清溪里,"32-35,44-47,50-53",,,
1836,青山里活動中心,明德路一段７４之１號,青山里,"1-7,13",,,
1837,清水中學,明德路一段７２號,青山里,"8-12,14-18",,,
1838,清水國小,金城路二段３５６號,清水里,"1-3,17,25,26",,,
1839,清水國小,金城路二段３５６號,清水里,"4,27-29,31,32",,,
1840,清水里活動中心(左側),清水路２３４巷５號,清水里,"6,10-16",,,
1841,清水里活動中心(右側),清水路２３４巷５號,清水里,"5,7-9,23,24",,,
1842,清水國小,金城路二段３５６號,清水里,"18-22,30",,,
1843,清水國小,金城路二段３５６號,永豐里,1-10,,,
1844,清水國小,金城路二段３５６號,永豐里,11-17,,,
1845,清水國小,金城路二段３５６號,永豐里,18-27,,,
1846,清水中學,明德路一段７２號,永富里,"1-9,27",,,
1847,清水中學,明德路一段７２號,永富里,10-17,,,
1848,清水中學,明德路一段７２號,永富里,18-26,,,
1849,廷寮社區活動中心(右側),永豐路１７１號旁,廷寮里,"1-9,13",,,
1850,廷寮社區活動中心(左側),永豐路１７１號旁,廷寮里,"10-12,14,15",,,
1851,廷寮巿民活動中心,永豐路２４０之１號,廷寮里,16-23,,,
1852,清水中學,明德路一段７２號,金城里,1-8,,,
1853,清水中學,明德路一段７２號,金城里,9-17,,,
1854,清水中學,明德路一段７２號,金城里,18-26,,,
1855,?廷巿民活動中心(左側),延吉街１３７巷１５號,?廷里,1-6,,,
1856,清水中學,明德路一段７２號,?廷里,7-12,,,
1857,清水中學,明德路一段７２號,?廷里,13-17,,,
1858,清水中學,明德路一段７２號,?廷里,18-22,,,
1859,清水中學,明德路一段７２號,?廷里,23-31,,,
1860,清水中學,明德路一段７２號,延吉里,1-7,,,
1861,延吉巿民活動中心(右側),延吉街１３７巷１３號,延吉里,8-13,,,
1862,清水中學,明德路一段７２號,延吉里,14-22,,,
1863,安和國小,延和路２３號,延壽里,"1-6,16",,,
1864,延壽巿民活動中心,延和路１２５巷２８號２樓,延壽里,7-15,,,
1865,安和國小,延和路２３號,延壽里,17-27,,,
1866,安和國小,延和路２３號,延祿里,1-7,,,
1867,安和國小,延和路２３號,延祿里,8-13,,,
1868,安和國小,延和路２３號,延祿里,14-21,,,
1869,安和國小,延和路２３號,平和里,"1-7,17",,,
1870,平和里活動中心,延和路１０５巷８弄７號,平和里,"8,10-16",,,
1871,安和國小,延和路２３號,平和里,18-26,,,
1872,安和國小,延和路２３號,平和里,"9,27-34",,,
1873,安和巿民活動中心,延和路８８巷１０弄３號,安和里,"1,2,10-15,24,28",,,
1874,安和國小,延和路２３號,安和里,"3-9,16,17",,,
1875,安和國小,延和路２３號,安和里,"18-23,25-27",,,
1876,安和國小,延和路２３號,延和里,1-7,,,
1877,安和國小,延和路２３號,延和里,8-14,,,
1878,安和國小,延和路２３號,延和里,15-21,,,
1879,安和國小,延和路２３號,延和里,22-32,,,
