103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,
,,,,,,
,,,,,,
新莊區(第2選舉區),,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註
,,,,,,
280,豐年國小(125教室),瓊泰路１１６號,海山里,1-11,,
281,豐年國小(112教室),瓊泰路１１６號,海山里,12-16,,
282,豐年國小(114教室),瓊泰路１１６號,海山里,17-19,,
283,豐年國小(101教室),瓊泰路１１６號,海山里,20-24,,新增
284,擇善寺,新莊路５４３巷１１號,全安里,"1-3,5,12,13,15",,
285,全安市民活動中心2樓,新莊路５２７號,全安里,16-22,,
286,覺明寺,豐年街５１巷１７弄１號,全安里,"4,6-11,14",,
287,新泰市民活動中心正門交誼廳,建中街１１６巷３弄２號,全泰里,1-6,,
288,新泰市民活動中心側門交誼廳,建中街１１６巷３弄２號,全泰里,7-17,,
289,新泰市民活動中心側門辦公室前,建中街１１６巷３弄２號,全泰里,18-27,,
290,新泰國小(114教室),公園一路９１號,忠孝里,1-11,,
291,新泰國小(115教室),公園一路９１號,忠孝里,12-22,,
292,新泰國小(116教室),公園一路９１號,忠孝里,23-29,,
293,新莊基督長老教會,武前街２７號,文衡里,1-7,,
294,新莊基督長老教會社區福音中心,武前街２３號,文衡里,8-16,,新增
295,天下一家社區活動中心,建中街３９號,文聖里,1-15,,
296,天下一家社區活動中心,建中街３９號,文聖里,16-29,,變更
297,慈惠堂餐廳,新莊路４１５號之４,興漢里,"1-5,8-15",,
298,新莊浸信會,建興街４號,興漢里,16-22,,
299,鳴遠幼稚園,新興街１號,興漢里,"6,7,23-32",,
300,慈祐宮文教大樓,新莊路２１４巷９號,榮和里,"1-11,21,22",,變更
301,新莊區衛生所,中華路一段２號１樓,榮和里,"12-20,23-25",,變更
302,廣福宮(三山國王廟),新莊路１５０號,文德里,全里,,
303,新莊國小(145教室),中正路８６號,文明里,全里,,
304,化成市民活動中心,化成路３１４巷２號,化成里,1-6,,變更
305,化成市民活動中心,化成路３１４巷２號,化成里,7-15,,變更
306,頭前國小(105教室),化成路２３１號,頭前里,1-6,,新增
307,頭前國小(106教室),化成路２３１號,頭前里,7-10,,
308,頭前國小(108教室),化成路２３１號,頭前里,11-14,,
309,頭前國小(109教室),化成路２３１號,頭前里,15-16,,新增
310,民宅,化成路３７３之４號,福基里,1-6,,新增
311,民宅,化成路８１４巷２號,福基里,7-9,,
312,興化國小(106教室),五工二路５０巷２號,福基里,10-17,,
313,興化國小(107教室),五工二路５０巷２號,福興里,1-4,,
314,興化國小(108教室),五工二路５０巷２號,福興里,5-7,,
315,興化國小(109教室),五工二路５０巷２號,福興里,8-12,,
316,興化國小(110教室),五工二路５０巷２號,福興里,13-17,,新增
317,昌平國小(101教室）,昌平街２００號,昌平里,1-7,,
318,昌平國小(103教室）,昌平街２００號,昌平里,8-15,,
319,昌平國小(105教室),昌平街２００號,昌平里,16-21,,新增
320,頭前國中(312教室),中原路２號,和平里,1-7,,
321,頭前國中(314教室),中原路２號,和平里,8-15,,
322,頭前國中(315教室),中原路２號,和平里,16-21,,
323,昌隆國小(126教室),昌隆街６３號,幸福里,1-10,,
324,昌隆國小(127教室),昌隆街６３號,幸福里,11-20,,
325,昌隆國小(128教室),昌隆街６３號,幸福里,21-30,,
326,昌隆國小(125教室),昌隆街６３號,昌隆里,1-7,,
327,昌隆國小(124教室),昌隆街６３號,昌隆里,8-12,,
328,昌隆國小(123教室),昌隆街６３號,昌隆里,13-15,,新增
329,昌隆國小(136教室),昌隆街６３號,信義里,1-8,,
330,昌隆國小(137教室),昌隆街６３號,信義里,9-18,,
331,昌隆國小(138教室),昌隆街６３號,信義里,19-25,,
332,昌隆國小(132教室),昌隆街６３號,昌信里,1-9,,
333,昌隆國小(133教室),昌隆街６３號,昌信里,10-17,,
334,昌隆國小（134教室),昌隆街６３號,昌明里,1-8,,
335,昌隆國小(135教室),昌隆街６３號,昌明里,9-18,,變更
336,思賢國小(103教室),自立街２２９號,仁義里,1-9,,
337,思賢國小(104教室),自立街２２９號,仁義里,10-20,,
338,思賢國小(122教室),自立街２２９號,仁愛里,1-10,,
339,思賢國小(123教室),自立街２２９號,仁愛里,11-20,,
340,聯合市民活動中心1樓,自由街１號,自信里,1-6,,變更
341,聯合市民活動中心2樓,自由街１號,自信里,7-12,,變更
342,思賢國小(118教室),自立街２２９號,自立里,1-4,,
343,思賢國小(119教室),自立街２２９號,自立里,5-14,,
344,思賢國小(143教室),自立街２２９號,自立里,15-26,,
345,思賢國小(114教室),自立街２２９號,自強里,1-8,,
346,思賢國小(115教室),自立街２２９號,自強里,9-15,,
347,思賢國小(109教室),自立街２２９號,思源里,1-7,,
348,思賢國小(110教室),自立街２２９號,思源里,8-14,,
349,思賢國小(111教室),自立街２２９號,思源里,15-22,,
350,老人文康活動中心1樓,長青街３０號,思賢里,1-5,,
351,老人文康活動中心2樓,長青街３０號,思賢里,6-14,,
352,老人文康活動中心3樓,長青街３０號,思賢里,15-21,,新增
353,新北市立圖書館中港分館,中港路３５０號,中華里,1-10,,
354,新北市立新莊幼兒園,中港路３５０號,中華里,11-15,,
355,竣業精典二期社區管理委員會警衛室,中華路一段１３６巷１４號,中美里,"4-6,13-16,24",,
356,中港第一市民活動中心,中港路１７２號,中美里,"1-3,7-11",,
357,中港第一市民活動中心,中港路１７２號,中美里,"12,17-23",,
358,新莊國小(122教室),中正路８６號,恆安里,1-10,,
359,新莊國小(123教室),中正路８６號,恆安里,11-19,,
360,新莊國小(125教室),中正路８６號,恆安里,20-24,,
361,新莊國小(126教室),中正路８６號,立人里,1-3,,
362,新莊國小(128教室),中正路８６號,立人里,4-9,,
363,新泰市民活動中心B1,建中街１１６巷３弄２號,立德里,1-8,,變更
364,新泰市民活動中心B1,建中街１１６巷３弄２號,立德里,9-17,,變更
365,中港國小(3108教室),中港一街１４２號,中和里,1-10,,
366,中港國小(3109教室),中港一街１４２號,中和里,11-20,,
367,中港國小(3110教室),中港一街１４２號,中和里,21-30,,
368,中港國小(5104教室),中港一街１４２號,中泰里,1-7,,
369,中港國小(5105教室),中港一街１４２號,中泰里,8-15,,
370,中港國小(5106教室),中港一街１４２號,中泰里,16-22,,
371,中港國小(5101教室),中港一街１４２號,中宏里,1-10,,
372,中港國小(5102教室),中港一街１４２號,中宏里,11-20,,
373,中港國小(4104教室),中港一街１４２號,中全里,1-11,,
374,中港國小(4106教室),中港一街１４２號,中全里,12-18,,
375,中港國小(1101教室),中港一街１４２號,立志里,1-6,,新增
376,中港國小(1102教室),中港一街１４２號,立志里,7-10,,
377,中港國小(1103教室),中港一街１４２號,立志里,11-16,,
378,中港國小(3111教室),中港一街１４２號,立廷里,1-10,,
379,中港國小(3112教室),中港一街１４２號,立廷里,"11-15,17,18",,
380,中平國中(靜心1-3),中平路３８５號,立廷里,"16,19-22",,
381,中平國中(靜心1-4),中平路３８５號,立廷里,23-27,,
382,中平國中(靜心1-5),中平路３８５號,立廷里,28-32,,
383,中平國中(靜心1-6),中平路３８５號,立廷里,33-40,,新增
384,中港國小(4107教室),中港一街１４２號,立基里,1-7,,
385,中港國小(4108教室),中港一街１４２號,立基里,8-14,,
386,中港國小(4109教室),中港一街１４２號,立基里,15-23,,新增
387,中港國小(4110教室),中港一街１４２號,立基里,24-32,,
388,中港國小(4102教室),中港一街１４２號,中誠里,1-7,,
389,中港國小(4103教室),中港一街１４２號,中誠里,8-15,,
390,榮富國小(1年11班),中和街１９３號,中港里,1-5,,
391,榮富國小(1年12班),中和街１９３號,中港里,6-15,,新增
392,榮富國小(1年13班),中和街１９３號,中港里,16-20,,
393,榮富國小(1年14班),中和街１９３號,中港里,21-28,,
394,榮富國小(1年1班),中和街１９３號,中信里,1-6,,
395,榮富國小(1年2班),中和街１９３號,中信里,7-15,,
396,榮富國小(1年3班),中和街１９３號,中信里,16-19,,
397,榮富國小(1年4班),中和街１９３號,中信里,20-26,,
398,榮富國小(1年5班),中和街１９３號,中信里,27-34,,
399,榮富國小(1年6班),中和街１９３號,中平里,1-7,,
400,榮富國小(1年7班),中和街１９３號,中平里,8-12,,新增
401,榮富國小(1年8班),中和街１９３號,中平里,"13-15,17,20",,
402,榮富國小(1年9班),中和街１９３號,中平里,"16,18",,
403,榮富國小(1年10班),中和街１９３號,中平里,"19,21-23",,
404,中信國小(101教室),中信街１６８號,中原里,1-6,,
405,中信國小(102教室),中信街１６８號,中原里,7-11,,
406,中信國小(103教室),中信街１６８號,中原里,"12,21,22,28,29",,
407,中信國小(116教室),中信街１６８號,中原里,13-18,,新增
408,榮富國小(1年15班),中和街１９３號,中原里,"19,20,23-27",,
409,榮富國小(1年16班),中和街１９３號,中原里,30-33,,
410,天莊社區圖書室,中港路４５４號,中隆里,"1-14,16-19",,
411,中信國小(117教室）,中信街１６８號,中隆里,"15,20",,新增
412,中信國小(120教室),中信街１６８號,中隆里,21-27,,
413,新泰國中(724教室),新泰路３５９號,立功里,1-14,,
414,新泰國中(學習教室一),新泰路３５９號,立功里,15-25,,
415,新泰國中(902教室),新泰路３５９號,立泰里,1-6,,
416,新泰國中(722教室),新泰路３５９號,立泰里,7-15,,
417,新泰國中(723教室),新泰路３５９號,立泰里,16-21,,
418,新泰國小(209教室),公園一路９１號,立言里,"1-10,12",,
419,新泰國小(208教室),公園一路９１號,立言里,"11,19,13-17",,
420,新泰國小(207教室),公園一路９１號,立言里,"18,20-24",,
421,豐年國小(116教室),瓊泰路１１６號,豐年里,"1-4,15",,新增
422,豐年國小(117教室),瓊泰路１１６號,豐年里,"5-8,14",,
423,豐年國小(118教室),瓊泰路１１６號,豐年里,"9-13,16",,
424,豐年國小(115教室),瓊泰路１１６號,國泰里,全里,,
425,清潔大樓(清潔隊),瓊林路３４號１樓,泰豐里,"1,3-7",,
426,豐年市民活動中心,豐年街５７之５號,泰豐里,"2,8-14",,
427,瓊泰市民活動中心1樓,瓊泰路８５號,瓊林里,"1,2",,
428,瓊泰市民活動中心(地下室),瓊泰路８５號,瓊林里,3-6,,新增
429,新莊仁濟醫院,中環路一段２８號,瓊林里,7-10,,
430,瓊林市民活動中心,瓊林北路１之１號,瓊林里,11-20,,
431,福營集會所,福營路２９號,福營里,1-10,,
432,新北市立新莊幼兒園中心分班,福營路２７７號,福營里,11-20,,
433,國泰國小(101教室),中正路３８６號,營盤里,"1-8,19",,
434,民宅,中正路５８６巷２號,營盤里,9-18,,變更
435,心慈托兒所,中正路７００之１４號,丹鳳里,1-7,,
436,慈悲寺,壽山路１６２號,丹鳳里,8-13,,變更
437,慈悲寺,壽山路１６２號,丹鳳里,"14-16,24-28",,
438,伊吉邦社區文教區廣場,新北大道七段３１６號,丹鳳里,17-20,,
439,伊吉邦社區文教區廣場,新北大道七段３１６號,丹鳳里,21-23,,新增
440,牡丹心市民活動中心(才藝教室),雙鳳路７５號５樓,合鳳里,1-8,,
441,牡丹心市民活動中心(閱覽室),雙鳳路７５號５樓,合鳳里,9-16,,
442,牡丹心市民活動中心(交誼廳),雙鳳路７５號５樓,合鳳里,17-25,,
443,晨光幼稚園,雙鳳路９０巷３弄５號,祥鳳里,1-8,,
444,晨光幼稚園,雙鳳路９０巷３弄５號,祥鳳里,9-18,,
445,丹鳳國小(124教室),新北大道七段４３７號,雙鳳里,1-3,,變更
446,丹鳳國小(125教室),新北大道七段４３７號,雙鳳里,4-10,,變更
447,丹鳳國小(126教室),新北大道七段４３７號,雙鳳里,11-13,,
448,丹鳳國小(127教室),新北大道七段４３７號,雙鳳里,14-25,,
449,丹鳳國小(129教室),新北大道七段４３７號,雙鳳里,"26-28,30",,
450,丹鳳國小(130教室),新北大道七段４３７號,雙鳳里,"29,31-36",,
451,三和基督長老教會,中正路９２９巷２６號,龍福里,1-8,,
452,三和基督長老教會(車庫),中正路９２９巷２６號,龍福里,9-13,,新增
453,丹鳳高中(901教室),龍安路７２號,龍鳳里,1-6,,
454,丹鳳高中(905教室),龍安路７２號,龍鳳里,7-13,,
455,丹鳳高中(801教室),龍安路７２號,龍鳳里,14-22,,
456,丹鳳高中(804教室),龍安路７２號,龍鳳里,"23-27,30",,新增
457,丹鳳高中(806教室),龍安路７２號,龍鳳里,"28,29",,
458,裕民國小(106教室),裕民街１２３號,裕民里,1-7,,
459,裕民國小(108教室),裕民街１２３號,裕民里,8-15,,
460,裕民國小(109教室),裕民街１２３號,裕民里,16-23,,
461,裕民國小(111教室),裕民街１２３號,裕民里,24-32,,
462,裕民國小(101教室),裕民街１２３號,龍安里,1-9,,
463,裕民國小(103教室),裕民街１２３號,龍安里,10-15,,
464,雙富綠廊,福營路３７８號（對面）,富國里,1-7,,變更
465,雙富綠廊,福營路３７８號（對面）,富國里,8-14,,變更
466,富民集會所,中正路７８７號,富民里,1-12,,
467,雙富綠廊,福營路３７８號(對面),富民里,13-21,,
