103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,
,,,,,,
,,,,,,
淡水區(第1選舉區),,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註
,,,,,,
29,中和市民活動中心,小中寮１９之２號,中和里,全里,,
30,屯山國小,淡金路五段１１１號,屯山里,全里,,變更
31,正德國中賢孝校區,後洲子１１號,賢孝里,全里,,變更
32,興仁國小,興仁路１０１巷１０號,興仁里,全里,,
33,玄玄廟（原仙媽廟）,安子內１２號旁,蕃薯里,全里,,
34,忠山市民活動中心,椿子林１８號,忠山里,全里,,
35,集應廟,下圭柔山３５之３號,義山里,1-13,,
36,集應廟,下圭柔山３５之３號,義山里,14-19,,
37,無極天元宮,北新路三段３６號,水源里,1-6,,
38,無極天元宮,北新路三段３６號,水源里,7-22,,
39,北新有機農場,演戲埔腳３之２號,忠寮里,全里,,
40,樹興市民活動中心,糞箕湖２５號,樹興里,全里,,
41,坪頂市民活動中心,坪頂路７１０巷１號,坪頂里,全里,,
42,臺灣長老教會關渡教會,自強路３０７巷４號,福德里,"1,8,18,19",,
43,中華基督教長老會信友堂-關渡自強分堂,自強路３０７巷２號,福德里,"2,13,20",,
44,竹圍國小自強分校,自強路３５號,福德里,3-5,,
45,竹圍國小自強分校,自強路３５號,福德里,"6,7,9-12,14-17",,
46,土地公廟旁,民族路１７巷底,竹圍里,"1,2,7,8,13-15",,
47,土地公廟旁,民族路１７巷底,竹圍里,3,,變更
48,關渡大國,民族路２９巷２弄６號（觀海極品後方）,竹圍里,4-6,,
49,竹圍慈濟資源回收場,民族路６５巷２號,竹圍里,9-12,,
50,私宅,民權路１７９巷６號,民權里,"1-6,9-12",,變更
51,關渡站前A區中庭廣場,民權路１７７巷５３號,民權里,"7,8,13-17",,
52,民生市民活動中心,民生路２７號１樓(托兒所),民生里,"1,5,10,16-19",,
53,民生里土地公廟,民生路１１３巷３弄３２號對面,民生里,"2-4,6-9,11-13",,
54,民生里休閒區,民生路１１３巷３弄３２號旁(民生里土地公廟對面),民生里,"14,15,20-28",,
55,民生市民活動中心,民生路２７號６樓,民生里,29-32,,
56,竹圍國小,中正東路二段１４５號,八勢里,"1-4,8",,
57,竹圍國小,中正東路二段１４５號,八勢里,"5,9,10,12",,
58,八勢里活動中心,八勢一街１２巷３號旁,八勢里,"6,7,11,13,14",,
59,綠波山莊交誼廳,坪頂路７０巷３７號,竿蓁里,"1,3,15,16",,變更
60,紅樹林護理之家,中正東路一段１１１巷２２號,竿蓁里,"2,4,23,24",,
61,竿蓁市民活動中心,中正東路一段３巷６號１樓,竿蓁里,"5-10,12,13",,變更
62,竿蓁市民活動中心,中正東路一段３巷６號１樓,竿蓁里,"11,14,25,26",,變更
63,消防隊活動中心,中正東路一段１２５號（消防分隊旁）,竿蓁里,17-22,,
64,新市國小,中山北路二段２００號,崁頂里,1,,變更
65,新市國小,中山北路二段２００號,崁頂里,"2,3,5",,新增
66,新市國小,中山北路二段２００號,崁頂里,4,,新增
67,育英國小,埤島１４號,崁頂里,6-15,,
68,埤島市民活動中心,埤島１４號,埤島里,全里,,
69,正德國中,北新路１０９號,水碓里,1-8,,
70,正德國中,北新路１０９號,水碓里,9-14,,
71,正德國中,北新路１０９號,水碓里,15-20,,
72,正德國中,北新路１０９號,北新里,1-10,,
73,正德國中,北新路１０９號,北新里,11-20,,
74,正德國中,北新路１０９號,正德里,"1,9-14",,
75,正德國中,北新路１０９號,正德里,2-8,,
76,新興國小,新興街１２３號,新興里,"1,4",,
77,新興國小,新興街１２３號,新興里,"2,6,8",,
78,新興國小,新興街１２３號,新興里,"3,5,7",,
79,新興國小,新興街１２３號,新義里,1-7,,
80,新興國小,新興街１２３號,新義里,8-11,,
81,新興國小,新興街１２３號,新義里,12-14,,
82,新興國小,新興街１２３號,新春里,1-3,,
83,新興國小,新興街１２３號,新春里,"4,5",,
84,新興國小,新興街１２３號,新春里,"6-8,11",,
85,新興國小,新興街１２３號,新春里,"9,10",,新增
86,新興國小,新興街１２３號,新民里,1-3,,
87,新興國小,新興街１２３號,新民里,4-8,,
88,新興國小,新興街１２３號,新民里,9-12,,
89,新市國小,中山北路二段２００號,北投里,1-5,,變更
90,北投里福德宮,北新路２２３號旁,北投里,"6-8,11,21,22",,
91,新市國小,中山北路二段２００號,北投里,"9,10,12-17",,變更
92,新市國小,中山北路二段２００號,北投里,18-20,,新增
93,鄧公國小,學府路９９號,鄧公里,1-5,,
94,鄧公國小,學府路９９號,鄧公里,6-11,,
95,鄧公國小,學府路９９號,鄧公里,12-17,,
96,鄧公國小,學府路９９號,幸福里,1-6,,
97,鄧公國小,學府路９９號,幸福里,7-12,,
98,鄧公國小,學府路９９號,幸福里,13-19,,
99,鄧公國小,學府路９９號,學府里,1-8,,
100,鄧公國小,學府路９９號,學府里,9-18,,
101,中興市民活動中心,水源街一段２９號１樓,中興里,1-7,,
102,中興市民活動中心,水源街一段２９號２樓,中興里,8-10,,
103,中興市民活動中心,水源街一段２９號３樓,中興里,11-18,,
104,長庚市民活動中心,中山路７２巷１弄１０號,長庚里,全里,,
105,淡水清水巖活動中心,清水街１６０號,清文里,全里,,
106,觀宗寺,中正路１５號,草東里,全里,,
107,淡水國小,中山路１６０號,協元里,全里,,
108,永吉里集會所,清水街２１２號,永吉里,全里,,
109,福佑宮,中正路２００號,民安里,全里,,
110,新北市淡水地政事務所,中正路２３３號,新生里,全里,,變更
111,文化國小,真理街６號,文化里,全里,,
112,忠義宮蘇府王爺廟,中正路一段３２號,油車里,"1-9,15-17",,
113,天生國小,淡海路７２巷２６號,油車里,10-13,,
114,天生國小,淡海路７２巷２６號,油車里,"14,18-20",,
115,保安廟,淡海路１８９巷１０號,沙崙里,1-4,,
116,保安廟（聚福廳）,淡海路１８９巷２５號,沙崙里,5-8,,
117,淡海市民活動中心,淡海路１１１號,大庄里,"1-4,6,9",,變更
118,大庄福德廟府,新民街一段１３６號,大庄里,"5,7,8",,
119,行忠宮,新民街一段８０號,大庄里,10-12,,
