103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
瑞芳區(第9選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
2179,瑞芳國小,中山路２號,龍潭里,全里,,變更,
2180,新北市立圖書館瑞芳分館,中正路１號,龍興里,1-7,,,
2181,龍興市民活動中心,民權街１０號,龍興里,8-13,,,
2182,民宅,逢甲路９６之１號,龍鎮里,全里,,,
2183,龍安市民活動中心,瑞芳街１１２巷７號１樓,龍安里,全里,,,
2184,瑞芳國小,中山路２號,龍川里,1-5,,,
2185,瑞芳國小,中山路２號,龍川里,6-11,,,
2186,瑞樂社,逢甲路２５０號,龍山里,全里,,,
2187,爪?社區活動中心,子坑路６６之６號,爪?里,"1-5,13,14",,,
2188,爪?市民活動中心,子坑路２７９之２號,爪?里,"6-8,12",,,
2189,瑞芳國中,子坑路１號,爪?里,9-11,,,
2190,瑞芳國中,子坑路１號,新峰里,1-6,,,
2191,瑞芳國中,子坑路１號,新峰里,7-14,,,
2192,市立托兒所東和分所,中山路４８之１０號,東和里,1-6,,,
2193,東和市民活動中心,中山路２０號,東和里,7-14,,,
2194,柑坪社區活動中心,明燈路一段８２之１號,柑坪里,全里,,,
2195,弓橋社區活動中心,九芎橋路２３號,弓橋里,全里,,,
2196,猴硐市民活動中心,侯硐路２５號,猴硐里,全里,,,
2197,光復市民活動中心,柴寮路３０９號,光復里,全里,,,
2198,原碩仁國小教室,魚寮路１２５號,碩仁里,全里,,,
2199,吉安宮集會所,瑞竹路９１之１號,吉慶里,1-7,,,
2200,吉安宮集會所,瑞竹路９１之１號,吉慶里,8-18,,,
2201,吉安市民活動中心,大埔路２３巷２０號之１,吉安里,"1-4,6-10",,,
2202,吉慶國小,大埔路９５號,吉安里,5,,,
2203,吉慶國小,大埔路９５號,吉安里,11-16,,,
2204,上天市民活動中心,大寮路４９巷５之１號,上天里,1-7,,,
2205,原市立托兒所長興分所,粗坑口路１巷２之２號,上天里,8-12,,,
2206,福德宮,傑魚坑路５８號,傑魚里,1-7,,,
2207,傑魚里活動中心,傑魚坑路２４５巷２之１號２樓,傑魚里,8-10,,,
2208,基山市民活動中心,輕便路１８８號,基山里,全里,,,
2209,九份國小,崙頂１４５號,永慶里,全里,,,
2210,長樂社區活動中心,街頂巷５６之１號,崇文里,全里,,,
2211,福住市民活動中心,佛堂巷３６號之１,福住里,全里,,,
2212,頌德市民活動中心,石碑巷５１之１號,頌德里,全里,,,
2213,瓜山社區老人長壽俱樂部,金光路８９號,瓜山里,全里,,,
2214,銅山市民活動中心,祈堂路７４之１號,銅山里,全里,,,
2215,新山市民活動中心,金光路２４１之１號,新山里,全里,,,
2216,瓜山國小,五號路３０６號,石山里,全里,,,
2217,濂洞市民活動中心,洞頂路１５５之８號,濂洞里,全里,,變更,
2218,威遠廟,明里路７之１號,濂新里,全里,,,
2219,南雅里活動中心,南雅路４１之１號,南雅里,全里,,,
2220,鼻頭國小,鼻頭路９９號,鼻頭里,全里,,,
2221,海濱市民活動中心,濱二路６８之１號,海濱里,全里,,,
2222,瑞濱國小,瑞濱路３４號,瑞濱里,"1-3,6-13",,,
2223,瑞濱國小,瑞濱路３４號,瑞濱里,"4,5",,,
2224,深澳市民活動中心,深澳路６７之１號,深澳里,全里,,,
