103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
萬里區(第10選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
2280,萬里國小,瑪鋉路１８號,萬里里,"1-6,23",,,
2281,萬里國小,瑪鋉路１８號,萬里里,24-33,,,
2282,萬里區老人會,瑪鋉路２６１號,萬里里,"7-22,34,35",,,
2283,中華商業海事學校,瑪鋉路１５號,北基里,1-12,,,
2284,中華商業海事學校,瑪鋉路１５號,北基里,13-23,,,
2285,龜吼里活動中心,玉田４５號之３,龜吼里,"1-3,9",,,
2286,龜吼里保民宮,鼓亭１４號,龜吼里,"4-8,10-20",,變更,
2287,野柳國小,港東１６７號,野柳里,1-9,,,
2288,野柳市民活動中心,港東新?１之６號,野柳里,10-19,,,
2289,大鵬國小,加投１４號,大鵬里,1-8,,,
2290,加投社區活動中心,加投１５３之１號,大鵬里,9-24,,,
2291,大鵬國小,加投１４號,磺潭里,全里,,,
2292,雙興里活動中心,二坪１之１號,雙興里,全里,,,
2293,大坪國小溪底分校,富士坪２號,溪底里,全里,,變更,
2294,崁?市民活動中心,崁?５５之１號,崁?里,全里,,,
2295,中幅社區活動中心,中福１１２之１號,中幅里,全里,,,
