103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,
,,,,,,
,,,,,,
蘆洲區(第3選舉區),,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註
,,,,,,
525,蘆洲國小,中正路１００號,光華里,1-8,,
526,蘆洲國小,中正路１００號,光華里,9-15,,
527,蘆洲國小,中正路１００號,光華里,16-19,,
528,蘆洲國小,中正路１００號,光明里,"1-6,22,23",,
529,蘆洲國小,中正路１００號,光明里,7-14,,
530,蘆洲國小,中正路１００號,光明里,15-21,,
531,民宅,和平路１１１巷１６號,中路里,1-10,,變更
532,中路市民活動中心,光華路１０７巷１１號,中路里,11-17,,
533,永安華廈社區,永安南路二段１６巷１８號,永安里,1-7,,
534,永安華廈社區,永安南路二段１６巷１４號,永安里,8-13,,
535,永安華廈社區,永安南路二段１６巷１０號,永安里,14-19,,
536,成功國小,長安街３１１號,九芎里,1-8,,
537,成功國小,長安街３１１號,九芎里,9-19,,
538,成功國小,長安街３１１號,九芎里,20-27,,
539,永安市民活動中心,永安南路二段１３４號,延平里,1-7,,
540,永安市民活動中心,永安南路二段１３４號,延平里,8-17,,
541,中路市民活動中心,光華路１０７巷１１號,中華里,1-7,,
542,中路市民活動中心,光華路１０７巷１１號,中華里,8-14,,
543,蘆洲國中,中正路２６５號,中原里,1-15,,
544,蘆洲國中,中正路２６５號,中原里,16-23,,
545,蘆洲國中,中正路２６５號,中原里,24-29,,
546,成功國小,長安街３１１號,長安里,1-7,,
547,成功國小,長安街３１１號,長安里,8-12,,
548,成功國小,長安街３１１號,長安里,13-19,,
549,長安市民活動中心,長安街９６號４樓,忠義里,1-7,,變更
550,長安市民活動中心,長安街９６號４樓,忠義里,8-14,,變更
551,忠義國小,光榮路９９號,正義里,"1,2,4,5",,
552,忠義國小,光榮路９９號,正義里,"3,15",,
553,忠義國小,光榮路９９號,正義里,6-8,,
554,忠義國小,光榮路９９號,正義里,9-13,,
555,忠義國小,光榮路９９號,正義里,"14,16-20",,
556,忠義國小,光榮路９９號,正義里,21-25,,新增
557,鷺江國中,長樂路２３５號,南港里,"1-6,20",,
558,鷺江國中,長樂路２３５號,南港里,7-12,,
559,鷺江國中,長樂路２３５號,南港里,13-19,,
560,鷺江國中,長樂路２３５號,永樂里,1-10,,
561,鷺江國中,長樂路２３５號,永樂里,11-19,,
562,鷺江國中,長樂路２３５號,永樂里,20-27,,
563,成功國小,長安街３１１號,成功里,1-4,,
564,成功國小,長安街３１１號,成功里,5-11,,
565,成功國小,長安街３１１號,成功里,12-21,,
566,成功國小,長安街３１１號,成功里,22-29,,
567,成功國小,長安街３１１號,永康里,1-6,,
568,成功國小,長安街３１１號,永康里,7-12,,
569,成功國小,長安街３１１號,永康里,13-18,,
570,成功國小,長安街３１１號,永康里,19-22,,新增
571,成功國小,長安街３１１號,永德里,1-10,,
572,成功國小,長安街３１１號,永德里,11-20,,
573,樓厝社區活動中心,中興街７２號,樓厝里,"1,22-24",,
574,民宅,民族路２３６巷４９號,樓厝里,"2-9,21",,
575,民宅,復興路２３４號,樓厝里,10-20,,
576,鷺江國小,民族路７號,信義里,1-13,,
577,鷺江國小,民族路７號,信義里,14-27,,
578,重陽市民活動中心(兒童親子圖書分館),集賢路２２１巷１１號２樓,玉清里,1-10,,變更
579,重陽市民活動中心,集賢路２２１巷１１號,玉清里,11-17,,
580,重陽市民活動中心,集賢路２２１巷１１號,玉清里,18-21,,
581,護天宮,復興路２２７巷２６號,復興里,1-7,,
582,護天宮,復興路２２７巷２６號,復興里,8-13,,
583,民宅,民族路２１３號,福安里,1-7,,
584,鷺江社區活動中心,民權路６８巷４號,福安里,8-11,,
585,鷺江國小,民族路７號,鷺江里,1-7,,
586,鷺江國小,民族路７號,鷺江里,"8-14,21",,
587,鷺江國小,民族路７號,鷺江里,15-20,,
588,鷺江國小,民族路７號,恆德里,"1-6,10",,
589,鷺江國小,民族路７號,恆德里,11-17,,
590,永安兒童公園市民活動中心,永安北路二段４２之６號,恆德里,"7-9,18-21",,變更
591,鷺江國小,民族路７號,溪墘里,1-8,,
592,鷺江國小,民族路７號,溪墘里,9-15,,
593,仁復市民活動中心,中山二路３６巷７號,仁復里,全里,,
594,鷺江國小,民族路７號,仁德里,1-9,,
595,鷺江國小,民族路７號,仁德里,10-16,,
596,鷺江國小,民族路７號,仁德里,17-20,,
597,玉清市民活動中心,集賢路２５５號,仁義里,"1-5,15-18",,
598,仁義市民活動中心,信義路２２２巷３２弄３１之１號,仁義里,6-14,,
599,湧蓮寺,得勝街９６號,得勝里,"1-7,9,21",,
600,蘆洲監理站,中山二路１６３號,得勝里,"8,10-20",,變更
601,民生市民活動中心,民生街１２９巷１４號,得仁里,1-9,,
602,民生市民活動中心,民生街１２９巷１６號,得仁里,10-15,,
603,蘆洲國小,中正路１００號,保和里,1-8,,
604,蘆洲國小,中正路１００號,保和里,9-15,,
605,景福宮活動中心,信義路２７巷７號,樹德里,"1,2,9-14",,
606,民宅,成功路７２巷１５號,樹德里,3-8,,
607,蘆洲代天府,信義路３０巷５５號,民和里,"1-4,7-9",,
