103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
雙溪區(第9選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
2225,三忠廟,長安街１５號,雙溪里,全里,,,
2226,新基市民活動中心,新基北街６４號,新基里,8-14,,,
2227,新基西街活動中心,新基西街１５號,新基里,"1-7,15-17",,,
2228,三港市民活動中心,三港７號,三港里,全里,,,
2229,牡丹市民活動中心,下坑３６號,牡丹里,"7-22,27-38",,,
2230,中正市民活動中心,中正路６４號,牡丹里,"1-6,23-26",,,
2231,牡丹國小,政光３號,三貂里,全里,,,
2232,平林市民活動中心,外平林５２號,平林里,4-12,,,
2233,新北市立雙溪高中,梅竹蹊３號,平林里,"1-3,13,14",,,
2234,上林國小,內平林６０號,上林里,全里,,,
2235,外柑市民活動中心,外柑腳４９號,外柑里,全里,,,
2236,長源市民活動中心,柑腳１９號,長源里,全里,,,
2237,雙溪國小,東榮街５４號,共和里,1-7,,,
2238,共和市民活動中心,中山路４１巷６號,共和里,8-13,,,
2239,保民殿,魚杭１號,魚行里,1-14,,,
2240,合壽產業股份有限公司,坤溪３之５號,魚行里,15-29,,,
2241,泰平市民活動中心,溪尾寮４６號,泰平里,1-15,,,
2242,聖寶宮,烏山40號,泰平里,16-20,,,
